Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
Which region has the highest on-time delivery rate?,"SELECT ShipRegion, (SUM(CASE WHEN ShippedDate <= RequiredDate THEN 1 ELSE 0 END) / COUNT(*)) * 100 AS on_time_rate FROM orders GROUP BY ShipRegion ORDER BY on_time_rate DESC LIMIT 1;","SELECT ShipRegion, COUNT(*) * 1.0 / SUM(CASE WHEN ShippedDate <= RequiredDate THEN 1 ELSE 0 END) AS on_time_delivery_rate FROM orders GROUP BY ShipRegion ORDER BY on_time_delivery_rate DESC;","The generated SQL does not have the correct calculation for on-time delivery rate. It divides the total count by the sum of the on-time deliveries rather than the other way around. Thus, the result will be incorrect. Also, the generated query lacks the LIMIT 1 clause to return only the region with the highest rate.","```sql
SELECT ShipRegion, 
       COUNT(OrderID WHERE ShippedDate <= RequiredDate) * 1.0 / COUNT(OrderID) AS OnTimeDeliveryRate
FROM orders
GROUP BY ShipRegion
ORDER BY OnTimeDeliveryRate DESC
LIMIT 1;
```",The generated SQL query has a syntax error in the COUNT function with the WHERE clause incorrectly placed inside the COUNT function. The correct syntax to calculate the on-time delivery rate would be to use the SUM with a CASE statement similar to the ground truth query.,Both,None
Calculate the total discount given on all orders in the last month.,"SELECT SUM([Order Details].Quantity * [Order Details].UnitPrice * [Order Details].Discount) AS TotalDiscount FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE orders.OrderDate >= DATE_ADD(CURDATE(), INTERVAL -1 MONTH);","SELECT SUM([Order Details].Discount * [Order Details].UnitPrice * [Order Details].Quantity) AS TotalDiscount FROM [Order Details], orders WHERE orders.OrderDate BETWEEN NOW() - INTERVAL 1 MONTH AND NOW();","The generated SQL query has two issues: first, it does not correctly join the orders and [Order Details] tables based on OrderID; second, the time interval calculation using NOW() is not exact for determining the last month as it can vary by the current time.","```sql
SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * [Order Details].Discount) AS TotalDiscount
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE orders.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH);
```",Both the generated SQL query and the ground truth SQL query correctly calculate the total discount given on all orders in the last month. The differences in the date calculation functions (DATE_SUB vs. DATE_ADD with a negative interval) and the placement of `UnitPrice` and `Quantity` in the SUM operation do not affect the correctness of the calculation.,Base,FT
Determine the employee with the largest average order size.,"SELECT employees.EmployeeID, AVG([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS AvgOrderSize FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY employees.EmployeeID ORDER BY AvgOrderSize DESC LIMIT 1;","```sql
SELECT e.EmployeeID, AVG(od.Quantity * od.UnitPrice) AS AverageOrderSize FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID ORDER BY AverageOrderSize DESC LIMIT 1;
```","The generated SQL query does not account for the discount in calculating the average order size, which is included in the ground truth query.","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, AVG(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS AverageOrderSize
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.EmployeeID
ORDER BY AverageOrderSize DESC
LIMIT 1;
```","Both the generated SQL query and the ground truth SQL query compute the same result by joining 'employees', 'orders', and 'Order Details' tables. They both calculate the average order size per employee and return the employee with the largest average order size. The only differences are in the naming conventions of the columns and aliases used (e.g., 'e' vs. 'employees'), which do not affect the correctness of the answer.",Base,FT
How many distinct customers placed orders each month?,"SELECT DATE_TRUNC('month', o.OrderDate) AS Month, COUNT(DISTINCT o.CustomerID) AS UniqueCustomers FROM orders o GROUP BY Month;","SELECT DATE_PART('month', OrderDate) AS Month, COUNT(DISTINCT CustomerID) AS DistinctCustomers FROM orders GROUP BY DATE_PART('month', OrderDate);","The generated SQL query groups by the month without truncating the date, which could potentially lead to incorrect grouping if the date also contains time. The ground truth query correctly uses DATE_TRUNC to ensure accurate month grouping.","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS OrderMonth,
    COUNT(DISTINCT CustomerID) AS DistinctCustomers
FROM 
    orders
GROUP BY 
    OrderMonth
ORDER BY 
    OrderMonth;
```",Both SQL queries aim to count the number of distinct customers who placed orders each month. The only difference is the formatting function used for the date: DATE_FORMAT() in MySQL and DATE_TRUNC() in PostgreSQL. Both queries use an appropriate method for grouping by month and counting distinct customers.,Base,FT
What are the average discounts applied per order?,"SELECT OrderID, AVG(Discount) AS AverageDiscount FROM [Order Details] GROUP BY OrderID;","SELECT OrderID, AVG(Discount) AS AvgDiscount FROM [Order Details] GROUP BY OrderID;","The generated SQL query and the ground truth SQL query produce the same results, averaging the discounts per OrderID and grouping by OrderID. The column alias difference (AvgDiscount vs AverageDiscount) does not affect the correctness of the result.","```sql
SELECT AVG(Discount) AS AverageDiscount
FROM [Order Details]
GROUP BY OrderID;
```","The generated SQL query does not select the OrderID, which is necessary to identify the average discount per order. Therefore, it does not fully answer the user question.",FT,Base
What is the number of products sold with discounts?,SELECT COUNT(DISTINCT ProductID) AS ProductsWithDiscount FROM [Order Details] WHERE Discount > 0;,SELECT COUNT(od.ProductID) AS ProductsSoldWithDiscount FROM [Order Details] od WHERE od.Discount > 0;,"The generated SQL query counts the number of individual products sold with discounts, whereas the ground truth SQL query counts the number of distinct products sold with discounts. This can lead to different results if there are multiple rows for the same product with discounts.","```sql
SELECT SUM([Order Details].Quantity) AS TotalProductsSoldWithDiscounts
FROM [Order Details]
WHERE Discount > 0;
```","The generated SQL query calculates the total quantity of products sold with discounts, whereas the user question asks for the number of unique products sold with discounts. The ground truth query correctly counts distinct ProductID values with discounts, aligning with the user's request.",Both,None
Which categories have an average unit price above $20?,SELECT CategoryName FROM categories c JOIN products p ON c.CategoryID = p.CategoryID GROUP BY c.CategoryName HAVING AVG(p.UnitPrice) > 20;,"SELECT c.CategoryID, AVG(p.UnitPrice) AS AvgUnitPrice FROM products p INNER JOIN categories c ON p.CategoryID = c.CategoryID GROUP BY c.CategoryID HAVING AVG(p.UnitPrice) > 20;",The generated SQL query selects CategoryID instead of CategoryName. The user question requests the category names.,"```sql
SELECT CategoryID, AVG(UnitPrice) AS AverageUnitPrice
FROM products
GROUP BY CategoryID
HAVING AVG(UnitPrice) > 20;
```","The generated SQL query only returns the CategoryID and the average UnitPrice, which does not fully answer the user question that asks for the category names. The ground truth query joins the categories and products tables to get the CategoryName, which is required to accurately answer the user question.",Both,None
What is the average order fulfillment time for each shipping method?,"SELECT ShipVia, AVG(DATEDIFF(day, OrderDate, ShippedDate)) AS AverageFulfillmentTime FROM orders GROUP BY ShipVia;","SELECT ShipVia, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY ShipVia;","Both the generated query and the ground truth query calculate the average time difference between OrderDate and ShippedDate for each shipping method (ShipVia). Although the DATEDIFF function syntax slightly differs, both queries perform the same computation and produce the correct answer.","```sql
SELECT ShipVia, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AverageFulfillmentTime
FROM orders
GROUP BY ShipVia;
```","The generated SQL query has a mistake in the parameters of the DATEDIFF function. The ground truth query specifies the datepart 'day' in the DATEDIFF function, which is required to ensure that the difference is calculated in days. The generated query does not specify the datepart, which might lead to an incorrect result depending on the SQL dialect.",FT,Base
List customers who have placed orders within the last 30 days.,"SELECT * FROM orders WHERE OrderDate >= DATE_SUB(CURRENT_DATE, INTERVAL 30 DAY);","```sql
SELECT customers.CustomerID, customers.CompanyName 
FROM customers 
JOIN orders ON customers.CustomerID = orders.CustomerID 
WHERE orders.OrderDate >= DATE_SUB(CURRENT_DATE, INTERVAL 30 DAY);
```","The generated SQL query selects customers who have placed orders within the last 30 days by joining the 'customers' and 'orders' tables and filtering based on the 'OrderDate'. The ground truth query, although correct, does not specifically list the customers from the order details. Hence, the generated query is more accurate in answering the user question.","```sql
SELECT DISTINCT c.CustomerID, c.CompanyName, c.ContactName, c.ContactTitle, c.Address, c.City, c.Region, c.PostalCode, c.Country, c.Phone, c.Fax
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
WHERE o.OrderDate >= CURDATE() - INTERVAL 30 DAY;
```","The generated SQL query correctly lists the customers who have placed orders within the last 30 days by joining the customers and orders tables, but the ground truth SQL query does not achieve this as it only lists the orders without linking back to customer details. The two queries serve different purposes.",FT,Base
Find the monthly sales performance for each product.,"SELECT p.ProductID, p.ProductName, EXTRACT(MONTH FROM o.OrderDate) AS Month, SUM(od.Quantity) AS MonthlySales FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN orders o ON od.OrderID = o.OrderID GROUP BY p.ProductID, p.ProductName, EXTRACT(MONTH FROM o.OrderDate);","SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalQuantity, DATE_FORMAT(o.OrderDate, '%Y-%m') AS Month FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN orders o ON od.OrderID = o.OrderID GROUP BY p.ProductID, Month;","The generated SQL query and the ground truth SQL query group by different aspects of the date. The generated query uses DATE_FORMAT(o.OrderDate, '%Y-%m') to generate a month-year string while the ground truth query only uses EXTRACT(MONTH FROM o.OrderDate) without considering the year, which could result in aggregation issues if the data spans multiple years.","```sql
SELECT 
    products.ProductID, 
    products.ProductName, 
    SUM([Order Details].Quantity) AS TotalSold
FROM 
    products
JOIN 
    [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY 
    products.ProductID, 
    products.ProductName
ORDER BY 
    products.ProductID;
```","The generated SQL query does not include the grouping by month and does not involve joining the orders table to access the OrderDate for extracting the month. Therefore, it does not calculate the monthly sales performance for each product as requested.",Both,None
